Number,Name,Color,RGB str,Foreground Escape Code,Background Escape Code
0,Black (SYSTEM),,#000000,[38:5:0m,[48:5:0m
1,Maroon (SYSTEM),,#800000,[38:5:1m,[48:5:1m
2,Green (SYSTEM),,#008000,[38:5:2m,[48:5:2m
3,Olive (SYSTEM),,#808000,[38:5:3m,[48:5:3m
4,Navy (SYSTEM),,#000080,[38:5:4m,[48:5:4m
5,Purple (SYSTEM),,#800080,[38:5:5m,[48:5:5m
6,Teal (SYSTEM),,#008080,[38:5:6m,[48:5:6m
7,Silver (SYSTEM),,#c0c0c0,[38:5:7m,[48:5:7m
8,Grey (SYSTEM),,#808080,[38:5:8m,[48:5:8m
9,Red (SYSTEM),,#ff0000,[38:5:9m,[48:5:9m
10,Lime (SYSTEM),,#00ff00,[38:5:10m,[48:5:10m
11,Yellow (SYSTEM),,#ffff00,[38:5:11m,[48:5:11m
12,Blue (SYSTEM),,#0000ff,[38:5:12m,[48:5:12m
13,Fuchsia (SYSTEM),,#ff00ff,[38:5:13m,[48:5:13m
14,Aqua (SYSTEM),,#00ffff,[38:5:14m,[48:5:14m
15,White (SYSTEM),,#ffffff,[38:5:15m,[48:5:15m
16,Grey0,,#000000,[38:5:16m,[48:5:16m
17,NavyBlue,,#00005f,[38:5:17m,[48:5:17m
18,DarkBlue,,#000087,[38:5:18m,[48:5:18m
19,Blue3,,#0000af,[38:5:19m,[48:5:19m
20,Blue3,,#0000d7,[38:5:20m,[48:5:20m
21,Blue1,,#0000ff,[38:5:21m,[48:5:21m
22,DarkGreen,,#005f00,[38:5:22m,[48:5:22m
23,DeepSkyBlue4,,#005f5f,[38:5:23m,[48:5:23m
24,DeepSkyBlue4,,#005f87,[38:5:24m,[48:5:24m
25,DeepSkyBlue4,,#005faf,[38:5:25m,[48:5:25m
26,DodgerBlue3,,#005fd7,[38:5:26m,[48:5:26m
27,DodgerBlue2,,#005fff,[38:5:27m,[48:5:27m
28,Green4,,#008700,[38:5:28m,[48:5:28m
29,SpringGreen4,,#00875f,[38:5:29m,[48:5:29m
30,Turquoise4,,#008787,[38:5:30m,[48:5:30m
31,DeepSkyBlue3,,#0087af,[38:5:31m,[48:5:31m
32,DeepSkyBlue3,,#0087d7,[38:5:32m,[48:5:32m
33,DodgerBlue1,,#0087ff,[38:5:33m,[48:5:33m
34,Green3,,#00af00,[38:5:34m,[48:5:34m
35,SpringGreen3,,#00af5f,[38:5:35m,[48:5:35m
36,DarkCyan,,#00af87,[38:5:36m,[48:5:36m
37,LightSeaGreen,,#00afaf,[38:5:37m,[48:5:37m
38,DeepSkyBlue2,,#00afd7,[38:5:38m,[48:5:38m
39,DeepSkyBlue1,,#00afff,[38:5:39m,[48:5:39m
40,Green3,,#00d700,[38:5:40m,[48:5:40m
41,SpringGreen3,,#00d75f,[38:5:41m,[48:5:41m
42,SpringGreen2,,#00d787,[38:5:42m,[48:5:42m
43,Cyan3,,#00d7af,[38:5:43m,[48:5:43m
44,DarkTurquoise,,#00d7d7,[38:5:44m,[48:5:44m
45,Turquoise2,,#00d7ff,[38:5:45m,[48:5:45m
46,Green1,,#00ff00,[38:5:46m,[48:5:46m
47,SpringGreen2,,#00ff5f,[38:5:47m,[48:5:47m
48,SpringGreen1,,#00ff87,[38:5:48m,[48:5:48m
49,MediumSpringGreen,,#00ffaf,[38:5:49m,[48:5:49m
50,Cyan2,,#00ffd7,[38:5:50m,[48:5:50m
51,Cyan1,,#00ffff,[38:5:51m,[48:5:51m
52,DarkRed,,#5f0000,[38:5:52m,[48:5:52m
53,DeepPink4,,#5f005f,[38:5:53m,[48:5:53m
54,Purple4,,#5f0087,[38:5:54m,[48:5:54m
55,Purple4,,#5f00af,[38:5:55m,[48:5:55m
56,Purple3,,#5f00d7,[38:5:56m,[48:5:56m
57,BlueViolet,,#5f00ff,[38:5:57m,[48:5:57m
58,Orange4,,#5f5f00,[38:5:58m,[48:5:58m
59,Grey37,,#5f5f5f,[38:5:59m,[48:5:59m
60,MediumPurple4,,#5f5f87,[38:5:60m,[48:5:60m
61,SlateBlue3,,#5f5faf,[38:5:61m,[48:5:61m
62,SlateBlue3,,#5f5fd7,[38:5:62m,[48:5:62m
63,RoyalBlue1,,#5f5fff,[38:5:63m,[48:5:63m
64,Chartreuse4,,#5f8700,[38:5:64m,[48:5:64m
65,DarkSeaGreen4,,#5f875f,[38:5:65m,[48:5:65m
66,PaleTurquoise4,,#5f8787,[38:5:66m,[48:5:66m
67,SteelBlue,,#5f87af,[38:5:67m,[48:5:67m
68,SteelBlue3,,#5f87d7,[38:5:68m,[48:5:68m
69,CornflowerBlue,,#5f87ff,[38:5:69m,[48:5:69m
70,Chartreuse3,,#5faf00,[38:5:70m,[48:5:70m
71,DarkSeaGreen4,,#5faf5f,[38:5:71m,[48:5:71m
72,CadetBlue,,#5faf87,[38:5:72m,[48:5:72m
73,CadetBlue,,#5fafaf,[38:5:73m,[48:5:73m
74,SkyBlue3,,#5fafd7,[38:5:74m,[48:5:74m
